statistic,cue,band,width_ms,family,value,ci_low,ci_high
R,bd,20-39 ms,20,D,0.0235,-0.0298,0.0768
R,bd,20-39 ms,20,S,-0.0094,-0.0674,0.047
R,bd,20-39 ms,20,A,0.1207,0.0689,0.1755
R,bd,20-39 ms,60,C,-0.0266,-0.0784,0.0251
R,bd,20-39 ms,60,D,0.0204,-0.0345,0.0752
R,bd,20-39 ms,60,S,0.0235,-0.0313,0.0768
R,bd,20-39 ms,60,A,0.0925,0.0361,0.1442
R,bd,20-39 ms,160,C,-0.0047,-0.0596,0.0502
R,bd,20-39 ms,160,D,0.0909,0.0361,0.1489
R,bd,20-39 ms,160,S,0.0517,-0.0016,0.105
R,bd,20-39 ms,160,A,0.1129,0.058,0.1693
E,bd,0-19 ms,0,C,0.0,0.0,0.0
E,bd,0-19 ms,0,D,0.5543,0.5079,0.5994
E,bd,0-19 ms,0,S,0.5102,0.4627,0.5552
E,bd,0-19 ms,0,A,0.5969,0.5512,0.6437
E,bd,0-19 ms,20,C,-0.0158,-0.056,0.0268
E,bd,0-19 ms,20,D,0.2461,0.1934,0.2981
E,bd,0-19 ms,20,S,0.2492,0.1934,0.3024
E,bd,0-19 ms,20,A,0.3265,0.2776,0.3785
E,bd,0-19 ms,60,C,-0.0631,-0.1197,-0.011
E,bd,0-19 ms,60,D,0.0252,-0.0301,0.0816
E,bd,0-19 ms,60,S,0.0631,0.0032,0.1185
E,bd,0-19 ms,60,A,0.1483,0.0916,0.2044
E,bd,0-19 ms,160,C,-0.022,-0.0757,0.03
E,bd,0-19 ms,160,D,-0.0236,-0.0788,0.0299
E,bd,0-19 ms,160,S,-0.0205,-0.0741,0.0315
E,bd,0-19 ms,160,A,0.0441,-0.0142,0.1006
E,bd,20-39 ms,0,C,0.0,0.0,0.0
E,bd,20-39 ms,0,D,0.2759,0.2257,0.3307
E,bd,20-39 ms,0,S,0.2571,0.2038,0.3072
E,bd,20-39 ms,0,A,0.348,0.2962,0.4013
E,bd,20-39 ms,20,C,-0.0219,-0.0635,0.0188
E,bd,20-39 ms,20,D,0.0611,0.0078,0.1129
E,bd,20-39 ms,20,S,0.0768,0.0235,0.1332
E,bd,20-39 ms,20,A,0.1536,0.0987,0.2116
E,bd,20-39 ms,60,C,-0.0141,-0.069,0.0439
E,bd,20-39 ms,60,D,-0.0031,-0.058,0.0486
E,bd,20-39 ms,60,S,0.0266,-0.0313,0.0831
E,bd,20-39 ms,60,A,0.1034,0.0486,0.1568
E,bd,20-39 ms,160,C,-0.0016,-0.0564,0.0517
E,bd,20-39 ms,160,D,-0.0047,-0.058,0.0486
E,bd,20-39 ms,160,S,0.0141,-0.0376,0.0674
E,bd,20-39 ms,160,A,0.0251,-0.0298,0.0815
R,seg,0-19 ms,pooled,1 processing      C - P,0.033,-0.0009,0.0717
R,seg,0-19 ms,pooled,2 excision        D - C,0.0033,-0.0403,0.0515
R,seg,0-19 ms,pooled,3 source switch   S - C,0.0581,0.007,0.1053
R,seg,0-19 ms,pooled,4 authenticity    A - S,-0.0312,-0.0635,-0.0013
R,seg,20-39 ms,pooled,1 processing      C - P,0.0198,-0.0092,0.0598
R,seg,20-39 ms,pooled,2 excision        D - C,0.0301,-0.0302,0.0838
R,seg,20-39 ms,pooled,3 source switch   S - C,0.1297,0.0686,0.1834
R,seg,20-39 ms,pooled,4 authenticity    A - S,-0.096,-0.1363,-0.054
E,seg,0-19 ms,pooled,1 processing      C - P,-0.0077,-0.0104,0.0196
E,seg,0-19 ms,pooled,2 excision        D - C,0.4904,0.4398,0.5201
E,seg,0-19 ms,pooled,3 source switch   S - C,0.4726,0.42,0.5046
E,seg,0-19 ms,pooled,4 authenticity    A - S,0.0968,0.0623,0.1303
E,seg,20-39 ms,pooled,1 processing      C - P,-0.0131,-0.0108,0.0188
E,seg,20-39 ms,pooled,2 excision        D - C,0.3981,0.3407,0.4268
E,seg,20-39 ms,pooled,3 source switch   S - C,0.3869,0.3272,0.4181
E,seg,20-39 ms,pooled,4 authenticity    A - S,0.1097,0.072,0.1477
R,bd,0-19 ms,pooled,1 processing      C - P,-0.0096,-0.0128,0.024
R,bd,0-19 ms,pooled,2 excision        D - C,0.0355,-0.0036,0.0566
R,bd,0-19 ms,pooled,3 source switch   S - C,0.0209,-0.0138,0.0429
R,bd,0-19 ms,pooled,4 authenticity    A - S,0.0472,0.0043,0.0819
R,bd,20-39 ms,pooled,1 processing      C - P,0.0028,-0.0117,0.0404
R,bd,20-39 ms,pooled,2 excision        D - C,0.0127,-0.0269,0.048
R,bd,20-39 ms,pooled,3 source switch   S - C,-0.0038,-0.0375,0.0327
R,bd,20-39 ms,pooled,4 authenticity    A - S,0.081,0.0305,0.1084
E,bd,0-19 ms,pooled,1 processing      C - P,0.0101,-0.0062,0.037
E,bd,0-19 ms,pooled,2 excision        D - C,0.1797,0.1441,0.2159
E,bd,0-19 ms,pooled,3 source switch   S - C,0.1781,0.1342,0.2174
E,bd,0-19 ms,pooled,4 authenticity    A - S,0.0683,0.0309,0.1045
E,bd,20-39 ms,pooled,1 processing      C - P,-0.0058,-0.0101,0.0234
