statistic,cue,band,width_ms,family,value,ci_low,ci_high
E,bd,20-39 ms,0,S,0.48,0.4213,0.5413
E,bd,20-39 ms,20,C,-0.028,-0.0787,0.0227
E,bd,20-39 ms,20,D,0.2,0.128,0.272
E,bd,20-39 ms,20,S,0.2773,0.208,0.344
E,bd,20-39 ms,60,C,-0.0347,-0.1067,0.0453
E,bd,20-39 ms,60,D,0.056,-0.0107,0.128
E,bd,20-39 ms,60,S,0.1227,0.0507,0.1947
E,bd,20-39 ms,160,C,-0.064,-0.136,0.0053
E,bd,20-39 ms,160,D,0.12,0.0453,0.1867
E,bd,20-39 ms,160,S,0.112,0.04,0.1813
R,seg,0-19 ms,pooled,1 processing      C - P,0.0095,-0.0111,0.0569
R,seg,0-19 ms,pooled,2 excision        D - C,0.0705,0.0145,0.1114
R,seg,0-19 ms,pooled,3 source switch   S - C,0.1584,0.0929,0.2035
R,seg,20-39 ms,pooled,1 processing      C - P,0.0116,-0.0097,0.0556
R,seg,20-39 ms,pooled,2 excision        D - C,0.0838,0.0258,0.1265
R,seg,20-39 ms,pooled,3 source switch   S - C,0.2007,0.1293,0.248
E,seg,0-19 ms,pooled,1 processing      C - P,-0.0145,-0.0139,0.0229
E,seg,0-19 ms,pooled,2 excision        D - C,0.5167,0.4533,0.5487
E,seg,0-19 ms,pooled,3 source switch   S - C,0.4687,0.3969,0.5056
E,seg,20-39 ms,pooled,1 processing      C - P,-0.0101,-0.0128,0.0256
E,seg,20-39 ms,pooled,2 excision        D - C,0.4408,0.3751,0.4755
E,seg,20-39 ms,pooled,3 source switch   S - C,0.3656,0.2936,0.4049
R,bd,0-19 ms,pooled,1 processing      C - P,0.0142,-0.0078,0.0551
R,bd,0-19 ms,pooled,2 excision        D - C,0.0502,-0.0013,0.0942
R,bd,0-19 ms,pooled,3 source switch   S - C,-0.0034,-0.0468,0.0456
R,bd,20-39 ms,pooled,1 processing      C - P,-0.0067,-0.0154,0.042
R,bd,20-39 ms,pooled,2 excision        D - C,0.065,-0.0017,0.101
R,bd,20-39 ms,pooled,3 source switch   S - C,0.0097,-0.0297,0.045
E,bd,0-19 ms,pooled,1 processing      C - P,0.0223,-0.0038,0.057
E,bd,0-19 ms,pooled,2 excision        D - C,0.2929,0.2279,0.3443
E,bd,0-19 ms,pooled,3 source switch   S - C,0.3974,0.3347,0.4474
E,bd,20-39 ms,pooled,1 processing      C - P,0.0119,-0.0108,0.0472
E,bd,20-39 ms,pooled,2 excision        D - C,0.1672,0.1062,0.2222
E,bd,20-39 ms,pooled,3 source switch   S - C,0.2074,0.1427,0.262
M,seg,0-19 ms,0,C,0.0,,
M,seg,0-19 ms,20,C,-0.0137,,
M,seg,0-19 ms,60,C,-0.0294,,
M,seg,0-19 ms,160,C,-0.015,,
M,seg,0-19 ms,0,D,0.5711,,
M,seg,0-19 ms,20,D,0.4002,,
M,seg,0-19 ms,60,D,0.4796,,
M,seg,0-19 ms,160,D,0.5578,,
M,seg,0-19 ms,0,S,0.5315,,
M,seg,0-19 ms,20,S,0.4454,,
M,seg,0-19 ms,60,S,0.4131,,
M,seg,0-19 ms,160,S,0.4267,,
M,seg,20-39 ms,0,C,0.0,,
M,seg,20-39 ms,20,C,0.013,,
M,seg,20-39 ms,60,C,-0.0269,,
M,seg,20-39 ms,160,C,-0.0266,,
M,seg,20-39 ms,0,D,0.4248,,
M,seg,20-39 ms,20,D,0.4082,,
M,seg,20-39 ms,60,D,0.4335,,
M,seg,20-39 ms,160,D,0.4562,,
M,seg,20-39 ms,0,S,0.3605,,
M,seg,20-39 ms,20,S,0.3842,,
M,seg,20-39 ms,60,S,0.328,,
M,seg,20-39 ms,160,S,0.3492,,
M,bd,0-19 ms,0,C,0.0,,
M,bd,0-19 ms,20,C,-0.0057,,
M,bd,0-19 ms,60,C,0.0322,,
M,bd,0-19 ms,160,C,0.0628,,
M,bd,0-19 ms,0,D,0.6384,,
M,bd,0-19 ms,20,D,0.3752,,
M,bd,0-19 ms,60,D,0.1535,,
M,bd,0-19 ms,160,D,0.0939,,
M,bd,0-19 ms,0,S,0.7509,,
M,bd,0-19 ms,20,S,0.542,,
M,bd,0-19 ms,60,S,0.2845,,
M,bd,0-19 ms,160,S,0.1016,,
M,bd,20-39 ms,0,C,0.0,,
M,bd,20-39 ms,20,C,0.0067,,
M,bd,20-39 ms,60,C,0.0059,,
M,bd,20-39 ms,160,C,0.035,,
M,bd,20-39 ms,0,D,0.4266,,
M,bd,20-39 ms,20,D,0.1719,,
M,bd,20-39 ms,60,D,0.0268,,
M,bd,20-39 ms,160,D,0.0911,,
M,bd,20-39 ms,0,S,0.4509,,
M,bd,20-39 ms,20,S,0.2481,,
M,bd,20-39 ms,60,S,0.0937,,
M,bd,20-39 ms,160,S,0.0842,,
R,seg,M_near,shape,C,+0.045,,
R,seg,M_total,shape,C,+0.237,,
R,seg,M_near,shape,D,+0.150,,
R,seg,M_total,shape,D,+0.406,,
R,seg,M_near,shape,S,+0.138,,
R,seg,M_total,shape,S,+0.293,,
R,seg,M_near,shape,A,-,,
R,seg,M_total,shape,A,-,,
E,seg,M_near,shape,C,+0.020,,
E,seg,M_total,shape,C,+0.363,,
E,seg,M_near,shape,D,+0.103,,
E,seg,M_total,shape,D,+0.749,,
E,seg,M_near,shape,S,+0.075,,
E,seg,M_total,shape,S,+0.189,,
E,seg,M_near,shape,A,-,,
E,seg,M_total,shape,A,-,,
R,bd,M_near,shape,C,+0.012,,
R,bd,M_total,shape,C,+0.307,,
R,bd,M_near,shape,D,+0.107,,
R,bd,M_total,shape,D,+0.446,,
R,bd,M_near,shape,S,+0.065,,
R,bd,M_total,shape,S,+0.387,,
R,bd,M_near,shape,A,-,,
R,bd,M_total,shape,A,-,,
E,bd,M_near,shape,C,+0.078,,
E,bd,M_total,shape,C,+0.427,,
E,bd,M_near,shape,D,+0.443,,
E,bd,M_total,shape,D,+1.419,,
E,bd,M_near,shape,S,+0.508,,
E,bd,M_total,shape,S,+1.545,,
E,bd,M_near,shape,A,-,,
E,bd,M_total,shape,A,-,,
