statistic,cue,band,width_ms,family,value,ci_low,ci_high
R,trajectory,20-39 ms,20,C,-0.0188,-0.0737,0.0345
R,trajectory,20-39 ms,20,D,-0.0752,-0.1301,-0.0172
R,trajectory,20-39 ms,20,S,0.011,-0.0439,0.0658
R,trajectory,20-39 ms,20,A,0.0125,-0.0423,0.069
R,trajectory,20-39 ms,60,C,0.0361,-0.0188,0.0909
R,trajectory,20-39 ms,60,D,-0.0141,-0.069,0.0408
R,trajectory,20-39 ms,60,S,0.0,-0.0517,0.0549
R,trajectory,20-39 ms,60,A,0.0141,-0.0424,0.0705
R,trajectory,20-39 ms,160,C,-0.0078,-0.0596,0.0439
R,trajectory,20-39 ms,160,D,-0.0204,-0.0737,0.0345
R,trajectory,20-39 ms,160,S,-0.0329,-0.0878,0.0188
R,trajectory,20-39 ms,160,A,-0.0157,-0.0768,0.0423
E,trajectory,0-19 ms,0,C,0.0,0.0,0.0
E,trajectory,0-19 ms,0,D,0.9403,0.9201,0.9592
E,trajectory,0-19 ms,0,S,0.9545,0.9373,0.97
E,trajectory,0-19 ms,0,A,0.9403,0.9214,0.9576
E,trajectory,0-19 ms,20,C,0.0032,-0.0362,0.0415
E,trajectory,0-19 ms,20,D,0.8281,0.7953,0.8587
E,trajectory,0-19 ms,20,S,0.8691,0.8418,0.8947
E,trajectory,0-19 ms,20,A,0.8502,0.8205,0.8787
E,trajectory,0-19 ms,60,C,0.0252,-0.0286,0.079
E,trajectory,0-19 ms,60,D,0.6167,0.5712,0.6625
E,trajectory,0-19 ms,60,S,0.6751,0.6341,0.7168
E,trajectory,0-19 ms,60,A,0.6751,0.6346,0.7145
E,trajectory,0-19 ms,160,C,-0.0251,-0.0799,0.0313
E,trajectory,0-19 ms,160,D,0.3956,0.3454,0.4448
E,trajectory,0-19 ms,160,S,0.4851,0.4373,0.5338
E,trajectory,0-19 ms,160,A,0.4851,0.438,0.5314
E,trajectory,20-39 ms,0,C,0.0,0.0,0.0
E,trajectory,20-39 ms,0,D,0.8589,0.8307,0.8856
E,trajectory,20-39 ms,0,S,0.848,0.8182,0.8746
E,trajectory,20-39 ms,0,A,0.8276,0.7962,0.8574
E,trajectory,20-39 ms,20,C,0.0266,-0.0125,0.0643
E,trajectory,20-39 ms,20,D,0.6332,0.5909,0.6755
E,trajectory,20-39 ms,20,S,0.663,0.6207,0.7022
E,trajectory,20-39 ms,20,A,0.6661,0.6238,0.7069
E,trajectory,20-39 ms,60,C,0.0862,0.0313,0.1411
E,trajectory,20-39 ms,60,D,0.5094,0.4608,0.5549
E,trajectory,20-39 ms,60,S,0.5423,0.4984,0.5847
E,trajectory,20-39 ms,60,A,0.569,0.5235,0.6144
E,trajectory,20-39 ms,160,C,0.0282,-0.0251,0.0831
E,trajectory,20-39 ms,160,D,0.3589,0.3056,0.4122
E,trajectory,20-39 ms,160,S,0.4483,0.4013,0.4937
E,trajectory,20-39 ms,160,A,0.4295,0.3777,0.4796
R,codec,0-19 ms,pooled,1 processing      C - P,0.0001,-0.0109,0.0307
R,codec,0-19 ms,pooled,2 excision        D - C,0.2214,0.175,0.2526
R,codec,0-19 ms,pooled,3 source switch   S - C,0.2287,0.1781,0.2599
R,codec,0-19 ms,pooled,4 authenticity    A - S,0.0167,-0.0133,0.0473
R,codec,20-39 ms,pooled,1 processing      C - P,-0.0135,-0.0139,0.0249
R,codec,20-39 ms,pooled,2 excision        D - C,0.1732,0.1187,0.1947
R,codec,20-39 ms,pooled,3 source switch   S - C,0.1739,0.119,0.1966
R,codec,20-39 ms,pooled,4 authenticity    A - S,0.0069,-0.0213,0.0363
E,codec,0-19 ms,pooled,1 processing      C - P,0.0028,-0.009,0.0338
E,codec,0-19 ms,pooled,2 excision        D - C,0.2658,0.2049,0.3046
E,codec,0-19 ms,pooled,3 source switch   S - C,0.3052,0.2429,0.3444
E,codec,0-19 ms,pooled,4 authenticity    A - S,-0.0192,-0.0454,0.0065
E,codec,20-39 ms,pooled,1 processing      C - P,0.0039,-0.0059,0.0239
E,codec,20-39 ms,pooled,2 excision        D - C,0.1065,0.0841,0.1355
E,codec,20-39 ms,pooled,3 source switch   S - C,0.1566,0.1131,0.1864
E,codec,20-39 ms,pooled,4 authenticity    A - S,-0.0133,-0.0424,0.0192
R,trajectory,0-19 ms,pooled,1 processing      C - P,0.0075,-0.007,0.0424
R,trajectory,0-19 ms,pooled,2 excision        D - C,0.0295,-0.0126,0.0597
R,trajectory,0-19 ms,pooled,3 source switch   S - C,0.0105,-0.026,0.0444
R,trajectory,0-19 ms,pooled,4 authenticity    A - S,0.0157,-0.013,0.0398
R,trajectory,20-39 ms,pooled,1 processing      C - P,0.0117,-0.0036,0.0434
R,trajectory,20-39 ms,pooled,2 excision        D - C,0.0074,-0.0267,0.0399
R,trajectory,20-39 ms,pooled,3 source switch   S - C,-0.0173,-0.0424,0.0179
R,trajectory,20-39 ms,pooled,4 authenticity    A - S,0.0073,-0.0205,0.0297
E,trajectory,0-19 ms,pooled,1 processing      C - P,-0.0016,-0.0095,0.0212
E,trajectory,0-19 ms,pooled,2 excision        D - C,0.6747,0.6387,0.6967
E,trajectory,0-19 ms,pooled,3 source switch   S - C,0.725,0.6904,0.746
